_price,_crawlTime,_primary_img_url,_offer,_out_of_stock,_description,_categories,_retailer_sku,_url,_title
$13.50 ,12/2/2015 12:27,https://a4ucontent.blob.core.windows.net/images/0000551_0.png,,FALSE,"Local Fresh Chilled Duck <br/>
<small><span style= ""color: gray""> 2.2kg-2.4kg </span></small>",Fresh Poultry,prod-data-id1069,https://allforyou.sg/fresh-poultry?pagenumber=1,Local Fresh Chilled Duck 2.2-2.4KG
$5.35 ,12/2/2015 12:27,https://a4ucontent.blob.core.windows.net/images/0016923_0.png,,FALSE,"Jean Fresh<br/>
Black Chicken<br/>
新鲜黑鸡<br/>
<span style=""color: grey"">400G - 700G</span> ",Fresh Poultry,prod-data-id1070,https://allforyou.sg/fresh-poultry?pagenumber=1,JF Black Chicken 400G-700G
$6.90 ,12/2/2015 12:27,https://a4ucontent.blob.core.windows.net/images/0016921_0.png,,FALSE,"Jean Fresh <br/>
Fresh Chicken (Large) <br/>
新鲜鸡 （大）<br/>
<span style= ""color: gray""> 1.4KG - 1.6KG </span>",Fresh Poultry,prod-data-id1071,https://allforyou.sg/fresh-poultry?pagenumber=1,JF Fresh Chicken - Large 1.4KG-1.6KG
$6.60 ,12/2/2015 12:27,https://a4ucontent.blob.core.windows.net/images/0010655_0.png,,FALSE,"Jean Fresh <br/>
Fresh Chicken (Small) <br/>
新鲜鸡 （小） <br/>
<span style= ""color: gray""> 1.0 KG-1.3KG </span>",Fresh Poultry,prod-data-id1072,https://allforyou.sg/fresh-poultry?pagenumber=1,JF Fresh Chicken - Small 1.0-1.3KG
$7.40 ,12/2/2015 12:27,https://a4ucontent.blob.core.windows.net/images/0011994_0.png,,FALSE,"Jean Fresh <br/>
Fresh Kampung Chicken <br/>
新鲜甘榜鸡  <br/>
<span style= ""color: gray""> 900G-1.1KG </span>",Fresh Poultry,prod-data-id1073,https://allforyou.sg/fresh-poultry?pagenumber=1,JF Kampung Chicken 900G-1.1KG
$8.15 ,12/2/2015 12:27,https://a4ucontent.blob.core.windows.net/images/0016925_0.png,,FALSE,"Jean Fresh <br/>
Fresh Kampung Chicken <br/>
新鲜甘榜母鸡  <br/>
<span style= ""color: gray""> 900G - 1.1KG </span>",Fresh Poultry,prod-data-id1074,https://allforyou.sg/fresh-poultry?pagenumber=1,JF Female Kampung Chicken 0.9KG-1.1KG
$4.15 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/0010711_0.png,,FALSE,,Dish Cleaning Equipments,prod-data-id107861,https://allforyou.sg/dish-cleaning-equipments?pagenumber=1,3M U'thane Sponge (3+1) 213
$3.35 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/0044129_0.png,,FALSE,"Broom With Handle <br/>
Nylon",Household Cleaning Equipments,prod-data-id108097,https://allforyou.sg/household-cleaning-equipments?pagenumber=1,Nylon Broom W/Handle UA-5105
$3.85 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/0044127_0.png,,FALSE,"Broom with Handle <br/>
Nylon ",Household Cleaning Equipments,prod-data-id108098,https://allforyou.sg/household-cleaning-equipments?pagenumber=1,Nylon Broom W/Handle UA-5110
$7.95 ,12/2/2015 12:23,https://a4ucontent.blob.core.windows.net/images/0041698_0.png,,FALSE,"Airwick<br/>
Freshmatic Aqua Floral Refill<br/>
<span style =""color:grey"">
250ML </span>","Air, Room & Car Fragrances ",prod-data-id108257,https://allforyou.sg/air-room-car-fragrances?pagenumber=2,Airwick F'MATIC A.Floral Ref 250ML
$5.20 ,12/2/2015 12:20,https://a4ucontent.blob.core.windows.net/images/0044227_0.png,,FALSE,"3M Command<br/> 
Medium Wire Hook (Holds Up to 1.3kg)  2S",Misc.,prod-data-id108506,https://allforyou.sg/misc-2?pagenumber=1,3M Command Med Wire Hook 2S 17068
$3.20 ,12/2/2015 12:20,https://a4ucontent.blob.core.windows.net/images/0044618_0.png,,FALSE,"EESIN <br/>
Blue Gel Pen <br/>
<span style= ""color: gray""> 4S </span>",Stationery,prod-data-id10863,https://allforyou.sg/stationery?pagenumber=1,Eesin R1 Gel Pen 4S 4R1
